Metric,Value
Best Fitness,0.047971718000164865
Gene Count,15

Gene/Weight,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15
Value,1.0011302324345177,0.9909186246702562,1.0036486057489944,1.0060854513814013,1.0014063386535916,0.006431398540609479,-0.0011479492234647282,-0.0023655009946150773,-0.003241089856745649,0.010760259539220662,0.0025510436979701012,-0.007085095732028868,-0.001548523601816898,0.0017861674747378098,-0.008855657769223368
